#Bait,PreyAccesion,GeneID,HEKScore,JurkatScore,ScoreAverage,Protein Name   (**also co-purified with >1 unrelated membrane proteins),Gene Symbol,Gene Synonyms
VPR,O00116,8540,0.841,0,0.421,"ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal precursor",AGPS,AAG5
VPR,Q5TAQ9,50717,0,0.842,0.421,WD42A_HUMAN WD repeat-containing protein 42A,DCAF8,WDR42A; H326
VPR,Q9BT78,51138,0,0.842,0.421,CSN4_HUMAN COP9 signalosome complex subunit 4,COPS4,-
VPR,Q7L5N1,10980,0,0.838,0.419,CSN6_HUMAN COP9 signalosome complex subunit 6,COPS6,HVIP
VPR,Q9UNS2,8533,0,0.829,0.414,CSN3_HUMAN COP9 signalosome complex subunit 3,COPS3,-
VPR,O14893,8487,0,0.823,0.412,GEMI2_HUMAN Survival of motor neuron protein-interacting protein 1,SIP1,GEMIN2
VPR,Q8TEB1,80344,0.794,0.027,0.411,WDR23_HUMAN WD repeat-containing protein 23,DCAF11,PRO2389; GL014
VPR,P61201,9318,0,0.822,0.411,CSN2_HUMAN COP9 signalosome complex subunit 2,COPS2,TRIP15
VPR,Q9Y6C9,23788,0.816,0,0.408,MTCH2_HUMAN Mitochondrial carrier homolog 2,MTCH2,HSPC032; MIMP
VPR,Q99627,10920,0,0.809,0.405,CSN8_HUMAN COP9 signalosome complex subunit 8,COPS8,-
VPR,Q13098,2873,0,0.809,0.405,CSN1_HUMAN COP9 signalosome complex subunit 1,GPS1,COPS1
VPR,Q13619,8451,0,0.805,0.402,CUL4A_HUMAN Cullin-4A,CUL4A,-
VPR,Q5T8D3,91452,0.803,0,0.401,ACBD5_HUMAN Acyl-CoA-binding domain-containing protein 5,ACBD5,KIAA1996
VPR,Q6ZPD9,147991,0.792,0,0.396,D19L3_HUMAN Protein dpy-19 homolog 3,DPY19L3,-
VPR,P28288,5825,0.782,0,0.391,ABCD3_HUMAN ATP-binding cassette sub-family D member 3,ABCD3,PXMP1; PMP70
VPR,Q9UHI6,11218,0,0.778,0.389,DDX20_HUMAN Probable ATP-dependent RNA helicase DDX20,DDX20,DP103; GEMIN3
VPR,Q96A33,57003,0.779,0,0.389,CCD47_HUMAN Coiled-coil domain-containing protein 47 precursor,CCDC47,PSEC0077; MSTP041; GK001
VPR,P61289,10197,0,0.776,0.388,PSME3_HUMAN Proteasome activator complex subunit 3,PSME3,-
VPR,P17152,8834,0.767,0,0.384,TMM11_HUMAN Transmembrane protein 11,TMEM11,PM1; C17orf35
VPR,P57678,50628,0,0.767,0.384,GEMI4_HUMAN Component of gems 4,GEMIN4,-
VPR,Q96PU5,23327,0.768,0,0.384,NED4L_HUMAN E3 ubiquitin-protein ligase NEDD4-like protein,NEDD4L,KIAA0439; NEDL3
VPR,P13051,7374,0,0.766,0.383,UNG_HUMAN Uracil-DNA glycosylase,UNG,DGU; UNG15; UNG1
VPR,Q9H840,79760,0,0.761,0.381,GEMI7_HUMAN Gem-associated protein 7,GEMIN7,-
VPR,O75386,7289,0,0.762,0.381,TULP3_HUMAN Tubby-related protein 3,TULP3,TUBL3
VPR,Q9NRK6,23456,0.753,0,0.377,"ABCBA_HUMAN ATP-binding cassette sub-family B member 10, mitochondrial precursor",ABCB10,-
VPR,Q92905,10987,0,0.751,0.376,CSN5_HUMAN COP9 signalosome complex subunit 5,COPS5,JAB1
VPR,Q9NX00,54958,0.752,0,0.376,TM160_HUMAN Transmembrane protein 160,TMEM160,-
VPU,P42704,10128,0.975,0.915,0.945,"LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial precursor",LRPPRC,LRP130
VPU,Q9GZT3,81892,0.969,0.877,0.923,"SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial precursor",C14orf156,DC50; PD04872; DC23
VPU,Q9UKB1,23291,0.947,0.852,0.899,FBW1B_HUMAN F-box/WD repeat-containing protein 11,FBXW11,FBXW1B; BTRCP2; KIAA0696
VPU,O14828,10067,0.949,0.834,0.891,SCAM3_HUMAN Secretory carrier-associated membrane protein 3,SCAMP3,C1orf3; PROPIN1
VPU,P40939,3030,0.913,0.841,0.877,"**ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial precursor",HADHA,HADH
VPU,Q96P70,55705,0.902,0.814,0.858,**IPO9_HUMAN Importin-9,IPO9,KIAA1192; HSPC273; RANBP9; IMP9
VPU,Q9NVI7,55210,0.874,0.841,0.857,ATD3A_HUMAN ATPase family AAA domain-containing protein 3A,ATAD3A,-
VPU,Q13616,8454,0.839,0.873,0.856,CUL1_HUMAN Cullin-1,CUL1,-
VPU,P63208,6500,0.848,0.847,0.847,SKP1_HUMAN S-phase kinase-associated protein 1A,SKP1,EMC19; SKP1A; OCP2; TCEB1L
VPU,Q86T03,90809,0.881,0.802,0.841,TM55B_HUMAN Transmembrane protein 55B,TMEM55B,C14orf9
VPU,Q9UHQ9,51706,0.818,0.862,0.84,NB5R1_HUMAN NADH-cytochrome b5 reductase 1,CYB5R1,UNQ3049/PRO9865; NQO3A2
VPU,P55084,3032,0.804,0.861,0.832,"**ECHB_HUMAN Trifunctional enzyme subunit beta, mitochondrial precursor",HADHB,MSTP029
VPU,O95197,10313,0.785,0.863,0.824,RTN3_HUMAN Reticulon-3,RTN3,ASYIP; NSPL2
VPU,Q9NQC3,57142,0.809,0.819,0.814,RTN4_HUMAN Reticulon-4,RTN4,SP1507; NOGO; KIAA0886; My043
VPU,Q9UBB4,25814,0.815,0.8,0.808,ATX10_HUMAN Ataxin-10,ATXN10,SCA10
VPU,9629366,-,0.833,0.781,0.807,NP_057855 Vpu_HIV-1,-,-
VPU,Q9Y297,8945,0.9,0.7,0.8,FBW1A_HUMAN F-box/WD repeat-containing protein 1A,BTRC,BTRCP; FBXW1A
VPU,P18859,522,0.815,0.776,0.795,"**ATP5J_HUMAN ATP synthase-coupling factor 6, mitochondrial precursor",ATP5J,ATPM; ATP5A
VPU,Q5T9A4,83858,0.785,0.78,0.783,**ATD3B_HUMAN ATPase family AAA domain-containing protein 3B,ATAD3B,KIAA1273
VPU,P24539,515,0.74,0.824,0.782,"**AT5F1_HUMAN ATP synthase subunit b, mitochondrial precursor",ATP5F1,-
VPU,O14980,7514,0.813,0.717,0.765,XPO1_HUMAN Exportin-1,XPO1,CRM1
VPU,Q96G23,29956,0.727,0.757,0.742,LASS2_HUMAN LAG1 longevity assurance homolog 2,LASS2,TMSG1
VPU,Q8TC07,64786,0.688,0.775,0.731,TBC15_HUMAN TBC1 domain family member 15,TBC1D15,-
VPU,P78527,5591,0.658,0.785,0.721,**PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit,PRKDC,HYRC; HYRC1
VPU,P48047,539,0.572,0.862,0.717,"**ATPO_HUMAN ATP synthase subunit O, mitochondrial precursor",ATP5O,-
VPU,O75947,10476,0.559,0.802,0.681,"**ATP5H_HUMAN ATP synthase subunit d, mitochondrial",ATP5H,My032
VPU,Q969Z0,9238,0.863,0.488,0.675,TBRG4_HUMAN Protein TBRG4,TBRG4,FASTKD4; CPR2; KIAA0948
VPU,P43487,5902,0.766,0.574,0.67,RANG_HUMAN Ran-specific GTPase-activating protein,RANBP1,-
VPU,Q9Y6D6,10565,0.816,0.452,0.634,BIG1_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 1,ARFGEF1,ARFGEP1
VPU,Q15843,4738,0.763,0.417,0.59,NEDD8_HUMAN NEDD8 precursor,NEDD8,-
VPU,P06576,506,0.375,0.784,0.579,"**ATPB_HUMAN ATP synthase subunit beta, mitochondrial precursor",ATP5B,ATPSB; ATPMB
VPU,P42695,23310,0.165,0.78,0.472,CNDD3_HUMAN Condensin-II complex subunit D3,NCAPD3,CAPD3; KIAA0056
VPU,O95573,2181,0.821,0.058,0.44,ACSL3_HUMAN Long-chain-fatty-acid--CoA ligase 3,ACSL3,FACL3; LACS3; ACS3
VPU,P20020,490,0.852,0,0.426,**AT2B1_HUMAN Plasma membrane calcium-transporting ATPase 1,ATP2B1,PMCA1
VPU,Q53GQ0,51144,0.825,0,0.412,DHB12_HUMAN Estradiol 17-beta-dehydrogenase 12,HSD17B12,-
VPU,Q9Y6D5,10564,0.812,0,0.406,BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,ARFGEP2
VPU,Q8IY95,201931,0.804,0,0.402,TM192_HUMAN Transmembrane protein 192,TMEM192,-
VPU,P78357,8506,0.796,0,0.398,CNTP1_HUMAN Contactin-associated protein 1 precursor,CNTNAP1,NRXN4; CASPR
VPU,P30049,513,0,0.79,0.395,"ATPD_HUMAN ATP synthase subunit delta, mitochondrial precursor",ATP5D,-
VPU,Q99653,11261,0,0.788,0.394,CHP1_HUMAN Calcium-binding protein p22,CHP,-
VPU,O95470,8879,0.785,0,0.392,SGPL1_HUMAN Sphingosine-1-phosphate lyase 1,SGPL1,KIAA1252
VPU,Q96F15,55340,0,0.781,0.391,GIMA5_HUMAN GTPase IMAP family member 5,GIMAP5,IMAP3; IAN4L1; IAN5
VPU,Q15185,10728,0,0.777,0.389,TEBP_HUMAN Prostaglandin E synthase 3,PTGES3,P23
VPU,P26038,4478,0,0.779,0.389,MOES_HUMAN Moesin,MSN,-
VPU,Q9HAV4,57510,0.776,0,0.388,XPO5_HUMAN Exportin-5,XPO5,KIAA1291; RANBP21
VPU,P13598,3384,0,0.774,0.387,ICAM2_HUMAN Intercellular adhesion molecule 2 precursor,ICAM2,-
VPU,Q63HN8,57674,0,0.774,0.387,RN213_HUMAN RING finger protein 213,RNF213,C17orf27; KIAA1554
VPU,Q6P2E9,23644,0,0.771,0.386,EDC4_Enhancer of mRNA-decapping protein 4,EDC4,HEDLS
VPU,Q6P1M0,10999,0.772,0,0.386,S27A4_HUMAN Long-chain fatty acid transport protein 4,SLC27A4,ACSVL4; FATP4
VPU,Q8NCG7,221955,0.766,0,0.383,DGLB_HUMAN Sn1-specific diacylglycerol lipase beta,DAGLB,-
VPU,Q9HCU5,10113,0.767,0,0.383,PREB_HUMAN Prolactin regulatory element-binding protein,PREB,SEC12
VPU,Q16537,5529,0.764,0,0.382,2A5E_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,PPP2R5E,-
VPU,Q86XR8,9702,0,0.762,0.381,CEP57_HUMAN Centrosomal protein of 57 kDa,CEP57,KIAA0092; TSP57
VPU,P49792,5903,0.751,0,0.376,RBP2_HUMAN E3 SUMO-protein ligase RanBP2,RANBP2,NUP358
VPU,Q9C0E2,64328,0.752,0,0.376,XPO4_HUMAN Exportin-4,XPO4,KIAA1721
TAT,9629358,-,0.951,0.941,0.946,NP_057853 Tat86_HIV-1,-,-
TAT,O60563,904,0.909,0.867,0.888,CCNT1_HUMAN Cyclin-T1,CCNT1,CCNT; CYCT1; HIVE1
TAT,P50750,1025,0.851,0.908,0.88,CDK9_HUMAN Cell division protein kinase 9,CDK9,CDC2L4
TAT,Q9UHB7,27125,0.83,0.884,0.857,AFF4_HUMAN AF4/FMR2 family member 4,AFF4,HSPC092; AF5Q31; MCEF
TAT,O43865,10768,0.791,0.876,0.834,SAHH2_HUMAN Putative adenosylhomocysteinase 2,AHCYL1,XPVKONA; DCAL
TAT,Q7L2J0,56257,0.692,0.857,0.774,MEPCE_HUMAN 7SK snRNA methylphosphate capping enzyme,MEPCE,BCDIN3
TAT,Q96HN2,23382,0.797,0.74,0.768,SAHH3_HUMAN Putative adenosylhomocysteinase 3,AHCYL2,KIAA0828
TAT,Q4G0J3,51574,0.54,0.915,0.727,LARP7_HUMAN La-related protein 7,LARP7,HDCMA18P
TAT,Q96EB6,23411,0.879,0.378,0.628,SIRT1_HUMAN NAD-dependent deacetylase sirtuin-1,SIRT1,SIR2L1
TAT,Q99733,4676,0.352,0.756,0.554,NP1L4_HUMAN Nucleosome assembly protein 1-like 4,NAP1L4,NAP2
TAT,O75607,10360,0.242,0.847,0.545,NPM3_HUMAN Nucleoplasmin-3,NPM3,-
TAT,Q96JP5,80829,0.92,0,0.46,ZFP91_HUMAN Zinc finger protein 91 homolog,ZFP91,FKSG11; ZNF757
TAT,P51825,4299,0,0.908,0.454,AFF1_HUMAN AF4/FMR2 family member 1,AFF1,MLLT2; PBM1; FEL; AF4
TAT,O15355,5496,0.884,0,0.442,PPM1G_Protein phosphatase 1G,PPM1G,PPM1C
TAT,Q9NXF7,54876,0.838,0,0.419,CD030_HUMAN Uncharacterized protein C4orf30,DCAF16,C4orf30
TAT,P35556,2201,0.838,0,0.419,FBN2_HUMAN Fibrillin-2 precursor,FBN2,-
TAT,P51784,8237,0.825,0,0.412,UBP11_HUMAN Ubiquitin carboxyl-terminal hydrolase 11,USP11,UHX1
TAT,Q8NCA5,25940,0.811,0,0.406,FA98A_HUMAN Protein FAM98A,FAM98A,-
TAT,Q8NAF0,163033,0.808,0,0.404,ZN579_HUMAN Zinc finger protein 579,ZNF579,-
TAT,Q9UK99,26273,0.789,0,0.394,FBX3_HUMAN F-box only protein 3,FBXO3,-
TAT,Q9C0C9,63893,0.764,0,0.382,UBE2O_Ubiquitin-conjugating enzyme E2 O,UBE2O,KIAA1734
TAT,P31942,3189,0.764,0,0.382,HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,HNRPH3
TAT,Q03111,4298,0.759,0,0.38,ENL_HUMAN Protein ENL,MLLT1,YEATS1; LTG19
TAT,Q9UQ35,23524,0.761,0,0.38,SRRM2_HUMAN Serine/arginine repetitive matrix protein 2,SRRM2,SRL300; SRM300; HSPC075; KIAA0324
REV,9629359,-,0.951,0.942,0.947,NP_057854 Rev_HIV-1,-,-
REV,Q9BVK6,54732,0.861,0.677,0.769,TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 precursor,TMED9,GP25L2; HSGP25L2G
REV,P49755,10972,0.868,0.46,0.664,TMEDA_HUMAN Transmembrane emp24 domain-containing protein 10 precursor,TMED10,TMP21
REV,P82933,64965,0.404,0.772,0.588,"RT09_HUMAN 28S ribosomal protein S9, mitochondrial precursor",MRPS9,RPMS9
REV,Q04837,6742,0.76,0.325,0.542,"SSB_HUMAN Single-stranded DNA-binding protein, mitochondrial precursor",SSBP1,SSBP
REV,Q9Y2Q9,28957,0.326,0.759,0.542,RT28_HUMAN Mitochondrial 28S ribosomal protein S28,MRPS28,HSPC007; MRPS35
REV,Q7Z7H5,222068,0.892,0,0.446,TMED4_HUMAN Transmembrane emp24 domain-containing protein 4 precursor,TMED4,ERS25
REV,Q13123,3550,0.851,0,0.425,RED_HUMAN Protein Red,IK,IK; RER
REV,Q9Y6G3,28977,0.841,0,0.42,"RT32_HUMAN Mitochondrial 28S ribosomal protein S32, mitochondrial precursor",MRPL42,MRPS32; RPML31; PTD007; MRPL42; MRPL31; HSPC204
REV,Q96BP2,118487,0.821,0,0.411,CHCH1_HUMAN Coiled-coil-helix-coiled-coil-helix domain-containing protein 1,CHCHD1,CHCHD1; C10orf34
REV,Q86XZ4,65244,0.81,0,0.405,SPAS2_HUMAN Spermatogenesis-associated serine-rich protein 2,SPATS2,SCR59; Nbla00526; SPATS2; SPATA10
REV,Q8WV92,129531,0,0.795,0.398,MITD1_HUMAN MIT domain-containing protein 1,MITD1,MITD1
REV,O75037,23046,0,0.782,0.391,KI21B_HUMAN Kinesin-like protein KIF21B,KIF21B,KIAA0449; KIF21B
REV,P29372,4350,0.773,0,0.387,3MG_HUMAN DNA-3-methyladenine glycosylase,MPG,MID1; MPG; ANPG; AAG
REV,Q9HD23,57380,0.771,0,0.385,"MRS2L_HUMAN Magnesium transporter MRS2L, mitochondrial precursor",MRS2,HPT
REV,Q2TAY7,55234,0.763,0,0.382,SMU1_HUMAN Smu-1 suppressor of mec-8 and unc-52 protein homolog,SMU1,-
REV,Q5T3I0,54865,0.764,0,0.382,GPTC4_HUMAN G patch domain-containing protein 4,GPATCH4,GPATC4
NEF,28872818.1,-,0.99,0.974,0.982,NP_057857 Nef_HIV-1,-,-
NEF,28872818,-,0.989,0.967,0.978,NP_057857 NefFull_HIV-1,-,-
NEF,O14734,10005,0.956,0.832,0.894,ACOT8_HUMAN Acyl-coenzyme A thioesterase 8,ACOT8,PTE2; PTE1; ACTEIII
NEF,P30419,4836,0.874,0.891,0.883,NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1,NMT1,NMT
NEF,P13995,10797,0.791,0.228,0.51,"MTDC_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial precursor [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase",MTHFD2,NMDMC
NEF,Q969X5,57222,0,0.778,0.389,ERGI1_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 1,ERGIC1,HT034; KIAA1181; ERGIC32
NEF,Q96A65,60412,0,0.769,0.385,EXOC4_HUMAN Exocyst complex component 4,EXOC4,SEC8L1; SEC8; EXOC4; KIAA1699
NEF,P42771,1029,0.768,0,0.384,"CD2A1_HUMAN Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3",CDKN2A,MTS1; CDKN2
NEF,P31040,6389,0.765,0,0.382,"DHSA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor",SDHA,SDH2; SDHF
NEF,Q9NZJ7,23787,0.752,0,0.376,MTCH1_HUMAN Mitochondrial carrier homolog 1,MTCH1,PSAP; UNQ1871/PRO4314; CGI-64
GP160,28876544,-,0.981,0.961,0.971,NP_579894 gp120_HIV-1,-,-
GP160,19172954,-,0.98,0.943,0.962,NP_579895 gp41_HIV-1,-,-
GP160,Q14697,23193,0.947,0.971,0.959,GANAB_HUMAN Neutral alpha-glucosidase AB precursor,GANAB,KIAA0088; G2AN
GP160,Q9UBS4,51726,0.931,0.968,0.949,DJB11_HUMAN DnaJ homolog subfamily B member 11 precursor,DNAJB11,ERJ3; EDJ; PSEC0121; HDJ9; UNQ537/PRO1080
GP160,Q96DZ1,27248,0.854,0.971,0.913,XTP3B_HUMAN XTP3-transactivated gene B protein precursor = ERLEC1,ERLEC1,XTP3TPB; C2orf30; UNQ1878/PRO4321
GP160,P49257,3998,0.895,0.916,0.905,LMAN1_HUMAN Protein ERGIC-53 precursor,LMAN1,ERGIC53; F5F8D
GP160,Q9HCN8,23753,0.889,0.911,0.9,SDF2L_HUMAN Stromal cell-derived factor 2-like protein 1 precursor,SDF2L1,UNQ1941/PRO4424
GP160,Q9UBV2,6400,0.818,0.955,0.887,SE1L1_HUMAN Protein sel-1 homolog 1 precursor,SEL1L,TSA305; UNQ128/PRO1063
GP160,P14314,5589,0.922,0.841,0.882,GLU2B_HUMAN Glucosidase 2 subunit beta precursor,PRKCSH,G19P1
GP160,Q99470,6388,0.829,0.931,0.88,SDF2_HUMAN Stromal cell-derived factor 2 precursor,SDF2,-
GP160,P27797,811,0.915,0.819,0.867,CALR_HUMAN Calreticulin precursor,CALR,CRTC
GP160,Q07065,10970,0.812,0.919,0.865,CKAP4_HUMAN Cytoskeleton-associated protein 4 = ERGIC-63,CKAP4,-
GP160,O94901,23353,0.808,0.825,0.816,UN84A_HUMAN Protein unc-84 homolog A = SUN1,SUN1,UNC84A; KIAA0810
GP160,Q9NYU2,56886,0.651,0.979,0.815,UGGG1_HUMAN UDP-glucose:glycoprotein glucosyltransferase 1 precursor,UGGT1,GT; UGT1; UGTR; UGCGL1
GP160,Q9Y287,9445,0.774,0.831,0.802,ITM2B_HUMAN Integral membrane protein 2B = BRI2,ITM2B,BRI2; BRI
GP160,P27824,821,0.861,0.667,0.764,**CALX_HUMAN Calnexin precursor,CANX,-
GP160,P45880,7417,0.775,0.69,0.733,**VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2,VDAC2,-
GP160,P25786,5682,0.755,0.705,0.73,PSA1_HUMAN Proteasome subunit alpha type-1,PSMA1,PROS30; HC2; PSC2; NU
GP160,P35232,5245,0.579,0.758,0.668,**PHB_HUMAN Prohibitin,PHB,-
GP160,P13073,1327,0.87,0.445,0.657,"COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial precursor",COX4I1,COX4
GP160,P04843,6184,0.309,0.866,0.587,**RIB1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit precursor = RPN1,RPN1,-
GP160,P16615,488,0.346,0.813,0.58,**AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,ATP2B
GP160,P07237,5034,0.939,0.151,0.545,PDIA1_HUMAN Protein disulfide-isomerase precursor = P4HB,P4HB,ERBA2L; PO4DB; PDIA1; PDI
GP160,O00264,10857,0.173,0.831,0.502,**PGRC1_HUMAN Membrane-associated progesterone receptor component 1,PGRMC1,PGRMC; HPR6.6
GP160,Q15165,5445,0.932,0,0.466,PON2_HUMAN Serum paraoxonase/arylesterase 2,PON2,-
GP160,Q13438,10956,0,0.915,0.457,OS9_HUMAN Protein OS-9 precursor = ERLEC2,OS9,-
GP160,Q6DD88,25923,0,0.911,0.455,ATLA3_HUMAN Atlastin-3,ATL3,-
GP160,Q96EE3,81929,0,0.895,0.448,SEH1L_HUMAN Nucleoporin SEH1-like,SEH1L,SEC13L; SEH1
GP160,Q13112,8208,0,0.896,0.448,CAF1B_HUMAN Chromatin assembly factor 1 subunit B,CHAF1B,MPP7; MPHOSPH7; CAF1P60; CAF1A
GP160,Q14574,1825,0.863,0,0.432,DSC3_HUMAN Desmocollin-3 precursor,DSC3,DSC4; CDHF3
GP160,Q9H3P7,64746,0,0.862,0.431,GCP60_HUMAN Golgi resident protein GCP60,ACBD3,GCP60; GOLPH1; GOCAP1
GP160,P30101,2923,0,0.862,0.431,PDIA3_HUMAN Protein disulfide-isomerase A3 precursor,PDIA3,ERP57; GRP58; ERP60
GP160,P51571,6748,0.091,0.769,0.43,**SSRD_HUMAN Translocon-associated protein subunit delta precursor = TRAPD,SSR4,TRAPD
GP160,P01850,28639,0,0.861,0.43,TCB_HUMAN T-cell receptor beta chain C region,TRBC1,-
GP160,P05067,351,0.85,0,0.425,A4_HUMAN Amyloid beta A4 protein precursor,APP,AD1
GP160,P07384,823,0,0.839,0.42,CAN1_HUMAN Calpain-1 catalytic subunit,CAPN1,CANPL1; PIG30
GP160,Q12907,10960,0,0.839,0.42,LMAN2_HUMAN Vesicular integral-membrane protein VIP36 precursor,LMAN2,C5orf8
GP160,Q9BYC5,2530,0.838,0,0.419,"FUT8_HUMAN Alpha-(1,6)-fucosyltransferase",FUT8,-
GP160,Q96IV0,55768,0,0.834,0.417,NGLY1_HUMAN Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,NGLY1,PNG1
GP160,P05107,3689,0,0.831,0.415,ITB2_HUMAN Integrin beta-2 precursor,ITGB2,MFI7; CD18
GP160,P20701,3683,0,0.829,0.414,ITAL_HUMAN Integrin alpha-L precursor,ITGAL,CD11A
GP160,P30508; Q29960; Q95604; P30510; P30505; Q29963,3107,0.824,0,0.412,"1Cxx_HUMAN HLA class I histocompatibility antigen, Cw-xx alpha chain precursor",HLA-C,HLAC
GP160,P61619,29927,0,0.822,0.411,S61A1_HUMAN Protein transport protein Sec61 subunit alpha isoform 1,SEC61A1,SEC61A
GP160,P01733,28577,0,0.811,0.406,TVB1_HUMAN T-cell receptor beta chain V region YT35 precursor,TRBV12-3,TCRBV8S1
GP160,P01892; P04439,3105,0.81,0,0.405,"1A0x_HUMAN HLA class I histocompatibility antigen, A-x alpha chain precursor",HLA-A,HLAA
GP160,O14967,1047,0,0.792,0.396,CLGN_HUMAN Calmegin precursor,CLGN,-
GP160,Q15392,1718,0,0.785,0.393,DHC24_HUMAN 24-dehydrocholesterol reductase precursor,DHCR24,KIAA0018
GP160,P07339,1509,0,0.784,0.392,CATD_HUMAN Cathepsin D precursor,CTSD,CPSD
GP160,P01130,3949,0,0.784,0.392,LDLR_HUMAN Low-density lipoprotein receptor precursor,LDLR,-
GP160,Q9NVV0,55151,0,0.784,0.392,TM38B_HUMAN Trimeric intracellular cation channel type B,TMEM38B,C9orf87
GP160,P08134,389,0,0.784,0.392,RHOC_HUMAN Rho-related GTP-binding protein RhoC precursor,RHOC,ARH9; ARHC
GP160,Q92598,10808,0,0.784,0.392,HS105_HUMAN Heat shock protein 105 kDa,HSPH1,KIAA0201; HSP110; HSP105
GP160,Q9NWW5,54982,0,0.785,0.392,**CLN6_HUMAN Ceroid-lipofuscinosis neuronal protein 6,CLN6,-
GP160,Q96RQ1,51290,0,0.782,0.391,ERGI2_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,ERV41; PTX1; CDA14
GP160,Q9BXS5,8907,0,0.782,0.391,AP1M1_HUMAN AP-1 complex subunit mu-1,AP1M1,CLTNM
GP160,P04578,-,0,0.783,0.391,Envelope glycoprotein gp160,-,-
GP160,Q15782,1117,0,0.783,0.391,CH3L2_HUMAN Chitinase-3-like protein 2 precursor,CHI3L2,-
GP160,P43630,3812,0,0.78,0.39,KI3L2_HUMAN Killer cell immunoglobulin-like receptor 3DL2 precursor,KIR3DL2,CD158K; NKAT4
GP160,Q8TCT9,81502,0,0.781,0.39,HM13_HUMAN Minor histocompatibility antigen H13,HM13,H13; PSL3; SPP; IMP1; MSTP086
GP160,Q9BUV8,55969,0,0.781,0.39,CT024_HUMAN Uncharacterized protein C20orf24,C20orf24,PNAS-11
GP160,Q99942,6048,0,0.781,0.39,RNF5_HUMAN E3 ubiquitin-protein ligase RNF5,RNF5,RMA1; NG2; G16
GP160,O75955,10211,0.774,0,0.387,FLOT1_HUMAN Flotillin-1,FLOT1,-
GP160,Q93084,489,0,0.772,0.386,AT2A3_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,ATP2A3,-
GP160,Q14696,23184,0,0.766,0.383,MESD2_HUMAN Mesoderm development candidate 2,MESDC2,MESD; UNQ1911/PRO4369; KIAA0081
GP160,Q9Y282,51614,0,0.763,0.381,ERGI3_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 3,ERGIC3,CGI-54; C20orf47; SDBCAG84; PRO0989; ERV46
GP160,P43629,3811,0,0.76,0.38,KI3L1_HUMAN Killer cell immunoglobulin-like receptor 3DL1 precursor,KIR3DL1,NKAT3; NKB1; CD158E
GP160,P21796,7416,0.755,0,0.378,**VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1,VDAC1,VDAC
GP160,P28072,5694,0.754,0,0.377,**PSB6_HUMAN Proteasome subunit beta type-6 precursor,PSMB6,Y; LMPY
GP160,P30685; P10319; P18465; P30464; P30484; P30491; P30492; P30493; P30495; Q29940,3106,0.753,0,0.376,"1Bxx_HUMAN HLA class I histocompatibility antigen, B-xx alpha chain precursor",HLA-B,HLAB
GP120,28876544,-,0.986,0.973,0.98,NP_579894 gp120_HIV-1,-,-
GP120,Q9UBS4,51726,0.958,0.954,0.956,DJB11_HUMAN DnaJ homolog subfamily B member 11 precursor,DNAJB11,ERJ3; EDJ; PSEC0121; HDJ9; UNQ537/PRO1080
GP120,Q99470,6388,0.856,0.981,0.919,SDF2_HUMAN Stromal cell-derived factor 2 precursor,SDF2,-
GP120,Q9HCN8,23753,0.916,0.909,0.912,SDF2L_HUMAN Stromal cell-derived factor 2-like protein 1 precursor,SDF2L1,UNQ1941/PRO4424
GP120,Q9Y4L1,10525,0.775,0.96,0.868,HYOU1_HUMAN Hypoxia up-regulated protein 1 precursor,HYOU1,GRP170; ORP150
GP120,Q9BRK5,51150,0.856,0.861,0.859,CAB45_HUMAN 45 kDa calcium-binding protein precursor,SDF4,PSEC0034; CAB45
GP120,O43852,813,0.73,0.964,0.847,CALU_HUMAN Calumenin precursor,CALU,-
