Search Name:	timsTOF_JX_Mouse_10ng_90min_msconvert/results1
			timsTOF_JX_Mouse_10ng_90min_msconvert/results1					
[376]		P49717	MCM4_MOUSE	8	10.2	1.9e-7	96737.0	MOUSE	DNA replication licensing factor MCM4
[377]		Q9D6R2	IDH3A_MOUSE	5	12.3	2.9e-7	39639.1	MOUSE	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
[378]		P29758	OAT_MOUSE	5	12.8	8.8e-8	48355.0	MOUSE	Ornithine aminotransferase, mitochondrial
[379]		Q9DCL9	PUR6_MOUSE	4	12.0	2.4e-12	47006.5	MOUSE	Multifunctional protein ADE2
[380]		Q8R1B4	EIF3C_MOUSE	13	14.3	1.3e-6	105531.9	MOUSE	Eukaryotic translation initiation factor 3 subunit C
[381]		Q99JY0	ECHB_MOUSE	9	16.2	2.1e-5	51386.8	MOUSE	Trifunctional enzyme subunit beta, mitochondrial
[382]		Q9D6Y9	GLGB_MOUSE	4	6.6	4.4e-10	80364.4	MOUSE	1,4-alpha-glucan-branching enzyme
[383]		Q91VR5	DDX1_MOUSE	6	11.4	1.6e-8	82500.9	MOUSE	ATP-dependent RNA helicase DDX1
[384]		P23198	CBX3_MOUSE	6	21.3	2.7e-6	20855.6	MOUSE	Chromobox protein homolog 3
[385]		Q9CZ44	NSF1C_MOUSE	5	16.2	1.9e-7	40710.3	MOUSE	NSFL1 cofactor p47
[386]		Q61081	CDC37_MOUSE	5	16.4	4.7e-7	44593.8	MOUSE	Hsp90 co-chaperone Cdc37
[387]		Q7TNV0	DEK_MOUSE	5	15.5	8.1e-8	43158.9	MOUSE	Protein DEK
[388]		P03958	ADA_MOUSE	4	14.5	2.3e-8	39992.0	MOUSE	Adenosine deaminase
[389]		Q9ERZ0	HEMGN_MOUSE	7	18.5	1.0e-6	55043.5	MOUSE	Hemogen
[390]		O35350	CAN1_MOUSE	5	7.6	5.0e-10	82107.0	MOUSE	Calpain-1 catalytic subunit
[391]		Q08093	CNN2_MOUSE	5	19.7	5.9e-9	33155.8	MOUSE	Calponin-2
[391-1]	1	Q9DAW9	CNN3_MOUSE	2	7.6	1.2e-5	36429.0	MOUSE	Calponin-3
[392]		Q9D2V7	CORO7_MOUSE	9	12.3	8.2e-7	100813.1	MOUSE	Coronin-7
[393]		Q8CG47	SMC4_MOUSE	8	7.0	1.4e-6	146896.0	MOUSE	Structural maintenance of chromosomes protein 4
[394]		P10518	HEM2_MOUSE	3	13.3	8.0e-12	36023.9	MOUSE	Delta-aminolevulinic acid dehydratase
[395]		P23492	PNPH_MOUSE	7	23.9	1.1e-8	32277.4	MOUSE	Purine nucleoside phosphorylase
[396]		Q9DBG6	RPN2_MOUSE	6	7.9	1.4e-8	69063.5	MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
[397]		Q91W90	TXND5_MOUSE	2	7.7	4.8e-13	46415.9	MOUSE	Thioredoxin domain-containing protein 5
[398]		Q99MD9	NASP_MOUSE	5	9.2	1.1e-7	83954.5	MOUSE	Nuclear autoantigenic sperm protein
[399]		P16110	LEG3_MOUSE	8	24.6	5.2e-6	27515.1	MOUSE	Galectin-3
[400]		P62751	RL23A_MOUSE	5	27.6	3.3e-6	17695.2	MOUSE	60S ribosomal protein L23a
[401]		Q9DBH5	LMAN2_MOUSE	6	14.5	3.5e-8	40430.1	MOUSE	Vesicular integral-membrane protein VIP36
[402]		Q8K310	MATR3_MOUSE	6	9.6	5.9e-8	94631.1	MOUSE	Matrin-3
[403]		Q9WUM5	SUCA_MOUSE	4	15.6	1.3e-8	36155.1	MOUSE	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial
[404]		P62264	RS14_MOUSE	4	22.5	6.7e-7	16272.9	MOUSE	40S ribosomal protein S14
[405]		Q9D554	SF3A3_MOUSE	7	16.0	1.5e-5	58842.4	MOUSE	Splicing factor 3A subunit 3
[406]		Q6P5E4	UGGG1_MOUSE	9	6.8	5.7e-6	176435.1	MOUSE	UDP-glucose:glycoprotein glucosyltransferase 1
[407]		P14869	RLA0_MOUSE	6	21.5	2.2e-7	34216.7	MOUSE	60S acidic ribosomal protein P0
[408]		P97457	MLRS_MOUSE	6	33.7	1.8e-8	18955.6	MOUSE	Myosin regulatory light chain 2, skeletal muscle isoform
[409]		Q6ZWR6	SYNE1_MOUSE	9	1.2	7.5e-6	1009934.5	MOUSE	Nesprin-1
[410]		Q6NZJ6	IF4G1_MOUSE	9	7.9	3.4e-6	176078.3	MOUSE	Eukaryotic translation initiation factor 4 gamma 1
[410-1]	1	Q80XI3	IF4G3_MOUSE	3	2.1	1.9e-4	174891.6	MOUSE	Eukaryotic translation initiation factor 4 gamma 3
[410-2]	1	Q80XI3-2	IF4G3_MOUSE	3	2.1	1.9e-4	172866.3	MOUSE	Isoform 2 of Eukaryotic translation initiation factor 4 gamma 3
[410-3]	1	Q80XI3-3	IF4G3_MOUSE	3	2.1	1.9e-4	176061.9	MOUSE	Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3
[410-4]	1	Q80XI3-4	IF4G3_MOUSE	3	2.1	1.9e-4	174792.5	MOUSE	Isoform 4 of Eukaryotic translation initiation factor 4 gamma 3
[411]		O08784	TCOF_MOUSE	7	6.9	1.1e-7	135002.3	MOUSE	Treacle protein
[412]		P47753	CAZA1_MOUSE	4	13.3	9.4e-9	32940.0	MOUSE	F-actin-capping protein subunit alpha-1
[412-1]	1	P47754	CAZA2_MOUSE	2	8.0	3.1e-6	32967.3	MOUSE	F-actin-capping protein subunit alpha-2
[413]		P62307	RUXF_MOUSE	3	24.4	2.2e-12	9725.3	MOUSE	Small nuclear ribonucleoprotein F
[414]		Q9CZE3	RAB32_MOUSE	3	9.0	3.2e-9	25068.7	MOUSE	Ras-related protein Rab-32
[415]		Q9Z2W0	DNPEP_MOUSE	4	8.9	2.3e-7	52207.3	MOUSE	Aspartyl aminopeptidase
[416]		P84228	H32_MOUSE	5	40.4	4.0e-9	15388.2	MOUSE	Histone H3.2
[417]		O09044	SNP23_MOUSE	3	23.8	1.2e-9	23261.1	MOUSE	Synaptosomal-associated protein 23
[418]		O09159	MA2B1_MOUSE	6	5.2	5.3e-7	114649.3	MOUSE	Lysosomal alpha-mannosidase
[419]		Q9R112	SQRD_MOUSE	4	11.1	4.2e-7	50282.9	MOUSE	Sulfide:quinone oxidoreductase, mitochondrial
[420]		Q9D8Y0	EFHD2_MOUSE	5	23.8	8.6e-7	26791.4	MOUSE	EF-hand domain-containing protein D2
[421]		Q3THK7	GUAA_MOUSE	7	7.4	7.3e-7	76724.1	MOUSE	GMP synthase [glutamine-hydrolyzing]
[422]		Q60953	PML_MOUSE	7	9.9	9.8e-7	98243.0	MOUSE	Protein PML
[423]		Q8BHD7	PTBP3_MOUSE	4	5.5	6.8e-10	56701.6	MOUSE	Polypyrimidine tract-binding protein 3
[424]		Q00PI9	HNRL2_MOUSE	11	15.2	3.2e-6	84940.9	MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 2
[425]		P80313	TCPH_MOUSE	8	14.5	1.1e-5	59652.7	MOUSE	T-complex protein 1 subunit eta
[426]		P13634	CAH1_MOUSE	4	18.8	4.1e-8	28330.8	MOUSE	Carbonic anhydrase 1
[427]		O35226-2	PSMD4_MOUSE	5	19.0	3.8e-7	41046.4	MOUSE	Isoform Rpn10B of 26S proteasome non-ATPase regulatory subunit 4
[428]		Q9JI39	ABCBA_MOUSE	5	8.4	2.5e-8	77188.7	MOUSE	ATP-binding cassette sub-family B member 10, mitochondrial
[429]		P10639	THIO_MOUSE	5	41.0	7.2e-8	11675.6	MOUSE	Thioredoxin
[430]		Q99PT1	GDIR1_MOUSE	5	22.1	6.6e-7	23407.6	MOUSE	Rho GDP-dissociation inhibitor 1
[431]		P60335	PCBP1_MOUSE	7	20.8	1.2e-7	37498.2	MOUSE	Poly(rC)-binding protein 1
[431-1]	3	Q61990	PCBP2_MOUSE	4	13.5	1.2e-7	38222.0	MOUSE	Poly(rC)-binding protein 2
[431-2]	3	Q61990-2	PCBP2_MOUSE	4	14.8	1.2e-7	34917.4	MOUSE	Isoform 2 of Poly(rC)-binding protein 2
[431-3]	3	Q61990-3	PCBP2_MOUSE	4	14.0	1.2e-7	36801.5	MOUSE	Isoform 3 of Poly(rC)-binding protein 2
[431-4]	1	P57722	PCBP3_MOUSE	2	6.7	1.2e-7	39294.5	MOUSE	Poly(rC)-binding protein 3
[431-5]	1	P57722-2	PCBP3_MOUSE	2	6.8	1.2e-7	39166.4	MOUSE	Isoform 2 of Poly(rC)-binding protein 3
[432]		Q9Z2U1	PSA5_MOUSE	4	17.4	5.3e-10	26411.3	MOUSE	Proteasome subunit alpha type-5
[433]		Q9Z2N8	ACL6A_MOUSE	4	12.1	1.6e-9	47448.4	MOUSE	Actin-like protein 6A
[434]		P54227	STMN1_MOUSE	6	36.2	8.6e-11	17274.6	MOUSE	Stathmin
[435]		Q99LC5	ETFA_MOUSE	4	17.7	1.3e-9	35009.7	MOUSE	Electron transfer flavoprotein subunit alpha, mitochondrial
[436]		Q99MN1	SYK_MOUSE	4	9.9	4.6e-8	67840.3	MOUSE	Lysine--tRNA ligase
[437]		Q9Z277	BAZ1B_MOUSE	7	5.0	1.1e-6	170652.1	MOUSE	Tyrosine-protein kinase BAZ1B
[438]		Q8BKC5	IPO5_MOUSE	8	7.6	1.0e-6	123592.2	MOUSE	Importin-5
[439]		Q9D8N0	EF1G_MOUSE	5	13.7	2.3e-7	50061.2	MOUSE	Elongation factor 1-gamma
[440]		P70670	NACAM_MOUSE	4	2.5	8.7e-7	220501.1	MOUSE	Nascent polypeptide-associated complex subunit alpha, muscle-specific form
[441]		P61965	WDR5_MOUSE	3	12.6	2.5e-10	36588.8	MOUSE	WD repeat-containing protein 5
[442]		Q61103	REQU_MOUSE	3	10.5	1.1e-11	44230.0	MOUSE	Zinc finger protein ubi-d4
[443]		Q6ZWU9	RS27_MOUSE	5	39.3	1.8e-6	9461.2	MOUSE	40S ribosomal protein S27
[443-1]	1	Q6ZWY3	RS27L_MOUSE	3	38.1	8.7e-6	9477.3	MOUSE	40S ribosomal protein S27-like
[444]		Q569Z6	TR150_MOUSE	4	4.9	1.5e-6	108179.0	MOUSE	Thyroid hormone receptor-associated protein 3
[445]		P11438	LAMP1_MOUSE	4	8.4	3.9e-10	43865.5	MOUSE	Lysosome-associated membrane glycoprotein 1
[446]		P18242	CATD_MOUSE	4	12.0	5.8e-8	44954.2	MOUSE	Cathepsin D
[447]		P56959	FUS_MOUSE	4	11.4	6.3e-10	52673.5	MOUSE	RNA-binding protein FUS
[448]		Q8BMK4	CKAP4_MOUSE	8	12.5	2.2e-5	63692.6	MOUSE	Cytoskeleton-associated protein 4
[449]		P97461	RS5_MOUSE	5	15.7	6.0e-8	22889.6	MOUSE	40S ribosomal protein S5
[450]		P51437	CAMP_MOUSE	2	19.8	1.7e-11	19453.6	MOUSE	Cathelicidin antimicrobial peptide
[451]		P28293	CATG_MOUSE	8	26.1	3.9e-7	29095.9	MOUSE	Cathepsin G
[452]		Q99KH8	STK24_MOUSE	4	12.1	7.0e-8	47954.0	MOUSE	Serine/threonine-protein kinase 24
[452-1]	2	Q99JT2	STK26_MOUSE	3	7.9	9.7e-9	46614.3	MOUSE	Serine/threonine-protein kinase 26
[453]		Q9DAR7	DCPS_MOUSE	3	11.2	1.8e-11	38988.5	MOUSE	m7GpppX diphosphatase
[454]		Q6BCL1	PRAM_MOUSE	4	5.8	1.1e-7	75508.8	MOUSE	PML-RARA-regulated adapter molecule 1
[455]		P62281	RS11_MOUSE	6	31.6	9.6e-8	18430.9	MOUSE	40S ribosomal protein S11
[456]		Q99JW4	LIMS1_MOUSE	5	18.5	2.1e-10	37240.7	MOUSE	LIM and senescent cell antigen-like-containing domain protein 1
[457]		Q569Z5	DDX46_MOUSE	5	6.2	1.1e-7	117449.2	MOUSE	Probable ATP-dependent RNA helicase DDX46
[458]		Q6P542	ABCF1_MOUSE	6	7.8	1.1e-7	94946.2	MOUSE	ATP-binding cassette sub-family F member 1
[459]		Q9CYR0	SSBP_MOUSE	2	9.9	2.5e-12	17319.1	MOUSE	Single-stranded DNA-binding protein, mitochondrial
[460]		Q9CXW4	RL11_MOUSE	3	20.2	1.5e-8	20252.6	MOUSE	60S ribosomal protein L11
[461]		P19783	COX41_MOUSE	4	18.9	2.9e-8	19530.6	MOUSE	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
[462]		Q78ZA7	NP1L4_MOUSE	3	12.3	6.7e-10	42679.7	MOUSE	Nucleosome assembly protein 1-like 4
[462-1]	1	P28656	NP1L1_MOUSE	2	5.6	5.2e-6	45345.5	MOUSE	Nucleosome assembly protein 1-like 1
[463]		Q8VEM8	MPCP_MOUSE	7	11.2	9.0e-7	39632.7	MOUSE	Phosphate carrier protein, mitochondrial
[464]		P14685	PSMD3_MOUSE	6	13.2	2.4e-8	60718.8	MOUSE	26S proteasome non-ATPase regulatory subunit 3
[465]		Q80VD1	FA98B_MOUSE	3	8.2	1.4e-9	45349.5	MOUSE	Protein FAM98B
[466]		Q9D0K2	SCOT1_MOUSE	4	8.5	4.4e-10	55989.1	MOUSE	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
[467]		Q99KC8	VMA5A_MOUSE	3	5.0	1.3e-9	87143.5	MOUSE	von Willebrand factor A domain-containing protein 5A
[468]		Q3UYV9	NCBP1_MOUSE	4	5.6	3.3e-9	91927.5	MOUSE	Nuclear cap-binding protein subunit 1
[469]		Q9QUI0	RHOA_MOUSE	8	23.8	5.7e-6	21782.4	MOUSE	Transforming protein RhoA
[470]		Q3U7R1	ESYT1_MOUSE	8	7.2	2.8e-5	121554.6	MOUSE	Extended synaptotagmin-1
[471]		Q8QZS1	HIBCH_MOUSE	5	15.8	1.1e-5	43038.0	MOUSE	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
[472]		Q9QZD9	EIF3I_MOUSE	6	21.5	9.5e-7	36461.1	MOUSE	Eukaryotic translation initiation factor 3 subunit I
[473]		O08788	DCTN1_MOUSE	6	5.5	7.3e-7	141677.0	MOUSE	Dynactin subunit 1
[474]		Q9CWZ3	RBM8A_MOUSE	4	21.8	6.9e-10	19889.2	MOUSE	RNA-binding protein 8A
[475]		D3YXK2	SAFB1_MOUSE	7	9.0	4.1e-8	105104.5	MOUSE	Scaffold attachment factor B1
[475-1]	2	Q80YR5	SAFB2_MOUSE	5	6.7	7.0e-8	111839.2	MOUSE	Scaffold attachment factor B2
[476]		O08917	FLOT1_MOUSE	4	13.6	1.9e-6	47513.9	MOUSE	Flotillin-1
[477]		P10711	TCEA1_MOUSE	6	20.6	5.1e-8	33880.8	MOUSE	Transcription elongation factor A protein 1
[478]		O54941	SMCE1_MOUSE	3	9.2	1.2e-10	46638.8	MOUSE	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1
[479]		Q8K411	PREP_MOUSE	7	8.0	5.3e-6	117372.8	MOUSE	Presequence protease, mitochondrial
[480]		O89090	SP1_MOUSE	4	4.7	6.7e-9	80732.5	MOUSE	Transcription factor Sp1
[481]		Q8VDJ3	VIGLN_MOUSE	5	5.1	1.4e-7	141744.1	MOUSE	Vigilin
[482]		Q9JMH9	MY18A_MOUSE	4	2.5	1.4e-10	232756.9	MOUSE	Unconventional myosin-XVIIIa
[483]		Q9JMA1	UBP14_MOUSE	5	12.2	8.5e-7	56002.5	MOUSE	Ubiquitin carboxyl-terminal hydrolase 14
[484]		P62889	RL30_MOUSE	5	51.3	1.7e-6	12784.2	MOUSE	60S ribosomal protein L30
[485]		Q7TQI3	OTUB1_MOUSE	4	14.4	9.0e-10	31270.3	MOUSE	Ubiquitin thioesterase OTUB1
[486]		Q8R180	ERO1A_MOUSE	5	11.6	5.8e-8	54084.9	MOUSE	ERO1-like protein alpha
[487]		P46471	PRS7_MOUSE	3	8.5	1.5e-11	48648.3	MOUSE	26S protease regulatory subunit 7
[488]		Q9R1P4	PSA1_MOUSE	3	12.9	9.1e-13	29546.8	MOUSE	Proteasome subunit alpha type-1
[489]		Q91YR7	PRP6_MOUSE	5	6.2	4.1e-7	106722.6	MOUSE	Pre-mRNA-processing factor 6
[490]		Q9CZW5	TOM70_MOUSE	2	4.4	5.6e-11	67590.8	MOUSE	Mitochondrial import receptor subunit TOM70
[491]		P27546	MAP4_MOUSE	4	5.2	1.3e-7	117430.2	MOUSE	Microtubule-associated protein 4
[492]		Q3V3R1	C1TM_MOUSE	8	8.9	6.2e-7	105729.7	MOUSE	Monofunctional C1-tetrahydrofolate synthase, mitochondrial
[493]		Q9D051	ODPB_MOUSE	5	13.6	7.6e-7	38937.5	MOUSE	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
[494]		Q64213	SF01_MOUSE	7	8.6	3.5e-8	70403.6	MOUSE	Splicing factor 1
[495]		Q9R1T4	SEPT6_MOUSE	3	6.9	1.5e-8	49620.0	MOUSE	Septin-6
[496]		Q61166	MARE1_MOUSE	4	20.9	2.1e-9	30016.5	MOUSE	Microtubule-associated protein RP/EB family member 1
[497]		Q8VDM6	HNRL1_MOUSE	6	7.7	2.1e-6	96002.7	MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 1
[498]		P15379	CD44_MOUSE	4	4.9	2.9e-10	85617.8	MOUSE	CD44 antigen
[499]		Q8BPU7	ELMO1_MOUSE	4	7.3	7.7e-7	83936.4	MOUSE	Engulfment and cell motility protein 1
[500]		Q6PDG5	SMRC2_MOUSE	5	3.2	6.2e-9	132605.2	MOUSE	SWI/SNF complex subunit SMARCC2
[501]		Q9EPL8	IPO7_MOUSE	3	3.7	2.6e-10	119487.6	MOUSE	Importin-7
[502]		P62852	RS25_MOUSE	4	32.8	4.2e-12	13742.2	MOUSE	40S ribosomal protein S25
[503]		Q8BL97	SRSF7_MOUSE	5	15.0	1.9e-6	30817.8	MOUSE	Serine/arginine-rich splicing factor 7
[504]		Q61768	KINH_MOUSE	4	5.7	9.2e-9	109552.4	MOUSE	Kinesin-1 heavy chain
[505]		Q8R317	UBQL1_MOUSE	4	11.7	5.3e-9	61977.0	MOUSE	Ubiquilin-1
[506]		Q8BHN3	GANAB_MOUSE	8	9.7	5.3e-7	106912.0	MOUSE	Neutral alpha-glucosidase AB
[507]		P46061	RAGP1_MOUSE	7	13.2	3.3e-6	63531.5	MOUSE	Ran GTPase-activating protein 1
[508]		Q3TXS7	PSMD1_MOUSE	4	5.8	2.2e-8	105731.1	MOUSE	26S proteasome non-ATPase regulatory subunit 1
[509]		O89086	RBM3_MOUSE	4	22.9	1.3e-8	16604.8	MOUSE	RNA-binding protein 3
[510]		Q9CXW3	CYBP_MOUSE	5	17.5	7.6e-9	26510.4	MOUSE	Calcyclin-binding protein
[511]		O88456	CPNS1_MOUSE	3	14.1	4.4e-9	28463.3	MOUSE	Calpain small subunit 1
[512]		P80317	TCPZ_MOUSE	5	9.8	9.1e-7	58004.8	MOUSE	T-complex protein 1 subunit zeta
[513]		P47758	SRPRB_MOUSE	2	7.1	1.7e-11	29579.3	MOUSE	Signal recognition particle receptor subunit beta
[514]		Q3UZA1	CPZIP_MOUSE	5	15.5	1.4e-7	44114.5	MOUSE	CapZ-interacting protein
[515]		P25444	RS2_MOUSE	7	24.2	5.9e-6	31231.6	MOUSE	40S ribosomal protein S2
[516]		Q922V4	PLRG1_MOUSE	3	3.1	1.3e-6	56938.1	MOUSE	Pleiotropic regulator 1
[517]		O35682	MYADM_MOUSE	2	5.3	4.0e-10	35284.9	MOUSE	Myeloid-associated differentiation marker
[518]		P35980	RL18_MOUSE	4	18.6	5.3e-7	21644.7	MOUSE	60S ribosomal protein L18
[519]		Q8CIH5	PLCG2_MOUSE	9	8.1	2.7e-7	147593.2	MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2
[520]		Q5SUF2	LC7L3_MOUSE	2	7.4	1.7e-9	51450.6	MOUSE	Luc7-like protein 3
[521]		Q80VQ0	AL3B1_MOUSE	5	12.6	1.1e-8	52292.6	MOUSE	Aldehyde dehydrogenase family 3 member B1
[522]		Q6P069	SORCN_MOUSE	6	20.7	1.9e-7	21627.5	MOUSE	Sorcin
[523]		P08103	HCK_MOUSE	3	6.5	2.2e-9	59129.9	MOUSE	Tyrosine-protein kinase HCK
[524]		Q91XV3	BASP1_MOUSE	4	22.6	7.6e-9	22086.8	MOUSE	Brain acid soluble protein 1
[525]		Q8BP67	RL24_MOUSE	4	25.5	6.8e-7	17779.1	MOUSE	60S ribosomal protein L24
[526]		P12265	BGLR_MOUSE	3	6.0	2.0e-7	74195.9	MOUSE	Beta-glucuronidase
[527]		P28658	ATX10_MOUSE	4	11.2	1.1e-7	53707.4	MOUSE	Ataxin-10
[528]		Q9R0P5	DEST_MOUSE	5	34.5	5.0e-7	18521.8	MOUSE	Destrin
[529]		Q9WVK4	EHD1_MOUSE	7	14.8	1.1e-5	60603.3	MOUSE	EH domain-containing protein 1
[530]		Q9D1A2	CNDP2_MOUSE	7	18.1	3.0e-5	52767.8	MOUSE	Cytosolic non-specific dipeptidase
[531]		P11276	FINC_MOUSE	7	3.3	1.1e-6	272540.4	MOUSE	Fibronectin
[532]		Q9D6Y7	MSRA_MOUSE	3	11.2	1.0e-8	25988.6	MOUSE	Mitochondrial peptide methionine sulfoxide reductase
[533]		Q9CZL2	CD032_MOUSE	2	22.9	2.0e-13	14510.8	MOUSE	Uncharacterized protein C4orf32 homolog
[534]		P17679	GATA1_MOUSE	4	13.8	7.8e-10	42674.4	MOUSE	Erythroid transcription factor
[535]		Q9D8U8	SNX5_MOUSE	6	15.1	7.3e-6	46797.8	MOUSE	Sorting nexin-5
[536]		Q9CZ30	OLA1_MOUSE	6	15.2	8.7e-7	44729.9	MOUSE	Obg-like ATPase 1
[537]		Q8CIE6	COPA_MOUSE	5	4.8	3.3e-6	138433.2	MOUSE	Coatomer subunit alpha
[538]		Q6GQT1	A2MG_MOUSE	2	1.8	2.9e-9	164354.1	MOUSE	Alpha-2-macroglobulin-P
[539]		P14131	RS16_MOUSE	4	30.8	2.9e-6	16445.5	MOUSE	40S ribosomal protein S16
[540]		Q9CZU6	CISY_MOUSE	5	11.2	9.6e-6	51737.1	MOUSE	Citrate synthase, mitochondrial
[541]		Q6PGH2	HN1L_MOUSE	3	21.1	4.2e-7	20020.3	MOUSE	Hematological and neurological expressed 1-like protein
[542]		P46978	STT3A_MOUSE	3	4.1	8.2e-10	80598.4	MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
[543]		Q9QUM9	PSA6_MOUSE	4	17.9	1.4e-9	27372.7	MOUSE	Proteasome subunit alpha type-6
[544]		Q9WVA3	BUB3_MOUSE	6	23.0	3.1e-6	36954.8	MOUSE	Mitotic checkpoint protein BUB3
[545]		P50516	VATA_MOUSE	4	5.5	1.6e-7	68326.7	MOUSE	V-type proton ATPase catalytic subunit A
[546]		Q9D0T1	NH2L1_MOUSE	4	27.3	1.5e-5	14173.7	MOUSE	NHP2-like protein 1
[547]		Q8C147	DOCK8_MOUSE	6	3.5	5.3e-6	238980.5	MOUSE	Dedicator of cytokinesis protein 8
[548]		Q6A0A9	F120A_MOUSE	4	5.4	1.8e-8	121646.8	MOUSE	Constitutive coactivator of PPAR-gamma-like protein 1
[549]		P43430	MCPT8_MOUSE	5	14.2	1.8e-8	27121.9	MOUSE	Mast cell protease 8
[550]		A2BH40	ARI1A_MOUSE	2	1.5	2.4e-11	242093.8	MOUSE	AT-rich interactive domain-containing protein 1A
[551]		Q7TMK9	HNRPQ_MOUSE	7	8.7	2.4e-6	69633.2	MOUSE	Heterogeneous nuclear ribonucleoprotein Q
[552]		Q62230	SN_MOUSE	6	4.8	3.2e-5	182980.4	MOUSE	Sialoadhesin
[553]		Q9DBR0	AKAP8_MOUSE	2	3.9	9.1e-10	76294.6	MOUSE	A-kinase anchor protein 8
[554]		Q8BVY0	RL1D1_MOUSE	4	13.1	9.7e-6	50421.7	MOUSE	Ribosomal L1 domain-containing protein 1
[555]		Q9WTP6	KAD2_MOUSE	6	19.7	6.7e-8	26469.0	MOUSE	Adenylate kinase 2, mitochondrial
[556]		P09528	FRIH_MOUSE	4	18.7	2.3e-7	21066.8	MOUSE	Ferritin heavy chain
[557]		P35700	PRDX1_MOUSE	7	40.7	1.8e-6	22176.7	MOUSE	Peroxiredoxin-1
[557-1]	2	O08807	PRDX4_MOUSE	4	15.7	7.7e-8	31052.8	MOUSE	Peroxiredoxin-4
[558]		O55023	IMPA1_MOUSE	4	15.9	6.2e-6	30436.5	MOUSE	Inositol monophosphatase 1
[559]		P84089	ERH_MOUSE	2	22.1	1.3e-9	12259.1	MOUSE	Enhancer of rudimentary homolog
[560]		Q91WQ3	SYYC_MOUSE	5	8.5	1.5e-5	59105.9	MOUSE	Tyrosine--tRNA ligase, cytoplasmic
[561]		Q8R0X7	SGPL1_MOUSE	3	7.4	4.0e-7	63677.8	MOUSE	Sphingosine-1-phosphate lyase 1
[562]		Q9DB20	ATPO_MOUSE	4	22.1	6.7e-7	23363.8	MOUSE	ATP synthase subunit O, mitochondrial
[563]		P53994	RAB2A_MOUSE	3	17.5	2.3e-7	23547.7	MOUSE	Ras-related protein Rab-2A
[564]		Q9Z1F9	SAE2_MOUSE	4	6.6	1.6e-8	70569.5	MOUSE	SUMO-activating enzyme subunit 2
[565]		P00493	HPRT_MOUSE	3	16.1	2.4e-9	24570.6	MOUSE	Hypoxanthine-guanine phosphoribosyltransferase
[566]		Q9DCW4	ETFB_MOUSE	5	23.5	2.7e-8	27623.5	MOUSE	Electron transfer flavoprotein subunit beta
[567]		Q505F5	LRC47_MOUSE	4	8.6	1.7e-7	63590.8	MOUSE	Leucine-rich repeat-containing protein 47
[568]		Q9JIX8	ACINU_MOUSE	9	7.0	4.2e-8	150720.1	MOUSE	Apoptotic chromatin condensation inducer in the nucleus
[569]		P06800	PTPRC_MOUSE	8	7.1	7.8e-7	144605.7	MOUSE	Receptor-type tyrosine-protein phosphatase C
[570]		B2RQC6	PYR1_MOUSE	3	1.8	2.8e-7	243240.6	MOUSE	CAD protein
[571]		Q3UP87	ELNE_MOUSE	6	16.6	4.2e-7	28648.2	MOUSE	Neutrophil elastase
[572]		Q8CH18	CCAR1_MOUSE	4	3.4	1.5e-7	132061.3	MOUSE	Cell division cycle and apoptosis regulator protein 1
[573]		Q99JF8	PSIP1_MOUSE	5	12.1	3.4e-7	59697.3	MOUSE	PC4 and SFRS1-interacting protein
[573-1]	5	P51859	HDGF_MOUSE	6	20.3	5.2e-9	26268.9	MOUSE	Hepatoma-derived growth factor
[573-2]	2	Q3UMU9	HDGR2_MOUSE	3	4.5	5.5e-6	74291.2	MOUSE	Hepatoma-derived growth factor-related protein 2
[573-3]	2	Q3UMU9-2	HDGR2_MOUSE	3	4.5	5.5e-6	74076.0	MOUSE	Isoform 2 of Hepatoma-derived growth factor-related protein 2
[573-4]	2	Q3UMU9-3	HDGR2_MOUSE	3	4.4	5.5e-6	75246.3	MOUSE	Isoform 3 of Hepatoma-derived growth factor-related protein 2
[573-5]	2	Q3UMU9-4	HDGR2_MOUSE	3	4.9	5.5e-6	68531.0	MOUSE	Isoform 4 of Hepatoma-derived growth factor-related protein 2
[574]		P62897	CYC_MOUSE	3	24.8	6.4e-10	11605.5	MOUSE	Cytochrome c, somatic
[575]		Q60692	PSB6_MOUSE	3	13.9	1.9e-8	25379.0	MOUSE	Proteasome subunit beta type-6
[576]		Q8CIN4	PAK2_MOUSE	8	18.7	1.0e-5	57930.8	MOUSE	Serine/threonine-protein kinase PAK 2
[577]		P62754	RS6_MOUSE	4	17.3	3.8e-6	28680.9	MOUSE	40S ribosomal protein S6
